epoch	acc	loss	val_acc	val_loss
0		0,7746666668256124	0,7291974844932556	0,86	0,4999099154472351
1	0,9146666666666666	0,2961267790198326	0,862	0,47522228717803955
2	0,9480000001589457	0,20682928852240245	0,871	0,5177698172330857
3	0,9513333333333334	0,17841709545254708	0,897	0,40556806516647337
4	0,9553333331743876	0,16463217444655795	0,908	0,5723242264986038
5	0,9623333331743876	0,155496998079742	0,899	0,40991358983516696
6	0,9696666665077209	0,10960540989254756	0,888	0,563486474275589
7	0,9786666666666667	0,09016466603179772	0,924	0,4023204344511032
8	0,971333333492279	0,12237187985233808	0,897	0,49853460398316385
9	0,96	0,1909654245466615	0,878	0,5663811430931092
10	0,963333333492279	0,15280942030968922	0,92	0,5148493351340294
11	0,9826666666666667	0,07607784784988811	0,932	0,41347852966561915
12	0,9893333331743877	0,044896778675846384	0,914	0,5595114455223084
13	0,9843333333333333	0,07036185383447324	0,888	0,6993569268956781
14	0,9763333333333334	0,12300667763199756	0,925	0,6157681647539138
15	0,9783333331743876	0,12205725526468207	0,913	0,5094637007415295
16	0,988666666507721	0,04806649139162149	0,9	0,7117814433574676
17	0,9863333333333333	0,06845827571690583	0,928	0,5056168297939002
18	0,9873333333333333	0,061815362487911744	0,928	0,43430091834068296
19	0,9943333333333333	0,02964977779405308	0,936	0,5188719689697027
20	0,997	0,0136371267098754	0,931	0,5469349799833144
21	0,999	0,0028871215416522017	0,928	0,6113857965987699
22	0,9993333333333333	0,002694929009758198	0,933	0,5591482729270356
23	0,9996666666666667	0,0012408207956653616	0,931	0,6064303901003077
24	1,0	0,000733491252637729	0,933	0,6235526294381343
25	1,0	0,0005741947610410232	0,93	0,6341598500874461
26	1,0	0,00021945306909193125	0,938	0,6010061438403973
27	0,9996666666666667	0,005745123516754878	0,928	0,6650638103317961
28	1,0	6,2763893809384775e-06	0,928	0,6725510789230866
29	1,0	4,393224565812185e-06	0,928	0,6789021523632427
