trainings_samples,test_samples,gamma,c0,accuracy
600,100,0.05,0,0.91
1200,200,0.05,0,0.925
1800,300,0.05,0,0.93333
2400,400,0.05,0,0.925
3000,500,0.05,0,0.936
3600,600,0.05,0,0.93333
4200,700,0.05,0,0.94429
4800,800,0.05,0,0.9425
5400,900,0.05,0,0.94222
6000,1000,0.05,0,0.941
6600,1100,0.05,0,0.94818
7200,1200,0.05,0,0.93833
7800,1300,0.05,0,0.93923
8400,1400,0.05,0,0.94286
9000,1500,0.05,0,0.94667
9600,1600,0.05,0,0.9475
10200,1700,0.05,0,0.94882
10800,1800,0.05,0,0.95
11400,1900,0.05,0,0.95368
12000,2000,0.05,0,0.953
12600,2100,0.05,0,0.95
13200,2200,0.05,0,0.94864
13800,2300,0.05,0,0.95043
14400,2400,0.05,0,0.9525
15000,2500,0.05,0,0.9512
15600,2600,0.05,0,0.95462
16200,2700,0.05,0,0.95481
16800,2800,0.05,0,0.95821
17400,2900,0.05,0,0.95931
18000,3000,0.05,0,0.959
18600,3100,0.05,0,0.96129
19200,3200,0.05,0,0.96031
19800,3300,0.05,0,0.96152
20400,3400,0.05,0,0.96294
21000,3500,0.05,0,0.96457
21600,3600,0.05,0,0.96417
22200,3700,0.05,0,0.96432
22800,3800,0.05,0,0.96579
23400,3900,0.05,0,0.96564
24000,4000,0.05,0,0.96525
24600,4100,0.05,0,0.96488
25200,4200,0.05,0,0.96643
25800,4300,0.05,0,0.96581
26400,4400,0.05,0,0.96568
27000,4500,0.05,0,0.96667
27600,4600,0.05,0,0.96696
28200,4700,0.05,0,0.96723
28800,4800,0.05,0,0.96792
29400,4900,0.05,0,0.96796
30000,5000,0.05,0,0.9686
30600,5100,0.05,0,0.96882
31200,5200,0.05,0,0.97
31800,5300,0.05,0,0.97038
32400,5400,0.05,0,0.97185
33000,5500,0.05,0,0.97273
33600,5600,0.05,0,0.97321
34200,5700,0.05,0,0.97386
34800,5800,0.05,0,0.975
35400,5900,0.05,0,0.97525
36000,6000,0.05,0,0.9735
36600,6100,0.05,0,0.97393
37200,6200,0.05,0,0.97484
37800,6300,0.05,0,0.97476
38400,6400,0.05,0,0.97578
39000,6500,0.05,0,0.97554
39600,6600,0.05,0,0.97485
40200,6700,0.05,0,0.97522
40800,6800,0.05,0,0.97574
41400,6900,0.05,0,0.97565
42000,7000,0.05,0,0.97586
42600,7100,0.05,0,0.97634
43200,7200,0.05,0,0.97625
43800,7300,0.05,0,0.97616
44400,7400,0.05,0,0.97676
45000,7500,0.05,0,0.97693
45600,7600,0.05,0,0.97737
46200,7700,0.05,0,0.97766
46800,7800,0.05,0,0.97808
47400,7900,0.05,0,0.97886
48000,8000,0.05,0,0.97862
48600,8100,0.05,0,0.9784
49200,8200,0.05,0,0.97817
49800,8300,0.05,0,0.97928
50400,8400,0.05,0,0.9794
51000,8500,0.05,0,0.97941
51600,8600,0.05,0,0.97977
52200,8700,0.05,0,0.97977
52800,8800,0.05,0,0.97989
53400,8900,0.05,0,0.98056
54000,9000,0.05,0,0.981
54600,9100,0.05,0,0.98066
55200,9200,0.05,0,0.98098
55800,9300,0.05,0,0.98129
56400,9400,0.05,0,0.98096
57000,9500,0.05,0,0.98042
57600,9600,0.05,0,0.98042
58200,9700,0.05,0,0.98041
58800,9800,0.05,0,0.9799
59400,9900,0.05,0,0.9802
60000,10000,0.05,0,0.9806
