trainings_samples,test_samples,gamma,c0,accuracy
18000,3000,1,4,0.94933
18000,3000,1,8,0.93833
18000,3000,1,12,0.92167
18000,3000,1,16,0.90133
18000,3000,1,20,0.88067
18000,3000,1,24,0.863
18000,3000,1,28,0.84433
18000,3000,1,32,0.82667
18000,3000,1,36,0.808
18000,3000,1,40,0.78867
18000,3000,1,44,0.77367
18000,3000,1,48,0.75667
18000,3000,1,52,0.74367
18000,3000,1,56,0.72967
18000,3000,1,60,0.71767
18000,3000,1,64,0.70467
18000,3000,1,68,0.694
18000,3000,1,72,0.68567
18000,3000,1,76,0.67433
18000,3000,1,80,0.66333
18000,3000,1,84,0.653
18000,3000,1,88,0.646
18000,3000,1,92,0.639
18000,3000,1,96,0.63067
18000,3000,1,100,0.62033
