trainings_samples,test_samples,gamma,c0,accuracy
18000,3000,5e-06,0,0.62667
18000,3000,5e-05,0,0.65567
18000,3000,0.0005,0,0.67433
18000,3000,0.005,0,0.90933
18000,3000,0.05,0,0.95567
18000,3000,0.5,0,0.95633
18000,3000,5,0,0.95633
18000,3000,50,0,0.95633
18000,3000,500,0,0.95633
18000,3000,0.004,0,0.89567
18000,3000,0.008,0,0.93233
18000,3000,0.012,0,0.94233
18000,3000,0.016,0,0.94767
18000,3000,0.02,0,0.95067
18000,3000,0.024,0,0.952
18000,3000,0.028,0,0.952
18000,3000,0.032,0,0.95233
18000,3000,0.036,0,0.953
18000,3000,0.04,0,0.95467
18000,3000,0.044,0,0.955
18000,3000,0.048,0,0.955
18000,3000,0.052,0,0.95567
18000,3000,0.056,0,0.95567
18000,3000,0.06,0,0.95633
18000,3000,0.064,0,0.95633
18000,3000,0.068,0,0.95633
18000,3000,0.072,0,0.95633
18000,3000,0.076,0,0.95633
18000,3000,0.08,0,0.95633
18000,3000,0.084,0,0.95633
18000,3000,0.088,0,0.95633
18000,3000,0.092,0,0.95633
18000,3000,0.096,0,0.95633
18000,3000,0.1,0,0.95633
18000,3000,0.104,0,0.95633
18000,3000,0.108,0,0.95633
18000,3000,0.112,0,0.95633
18000,3000,0.116,0,0.95633
18000,3000,0.12,0,0.95633
18000,3000,0.124,0,0.95633
18000,3000,0.128,0,0.95633
18000,3000,0.132,0,0.95633
18000,3000,0.136,0,0.95633
18000,3000,0.14,0,0.95633
18000,3000,0.144,0,0.95633
18000,3000,0.148,0,0.95633
18000,3000,0.152,0,0.95633
18000,3000,0.156,0,0.95633
18000,3000,0.16,0,0.95633
18000,3000,0.164,0,0.95633
18000,3000,0.168,0,0.95633
18000,3000,0.172,0,0.95633
18000,3000,0.176,0,0.95633
18000,3000,0.18,0,0.95633
18000,3000,0.184,0,0.95633
18000,3000,0.188,0,0.95633
18000,3000,0.192,0,0.95633
18000,3000,0.196,0,0.95633
18000,3000,0.2,0,0.95633
