trainings_samples,test_samples,gamma,c0,accuracy
18000,3000,0.004,60,0.497
18000,3000,0.008,60,0.40867
18000,3000,0.012,60,0.37133
18000,3000,0.016,60,0.359
18000,3000,0.02,60,0.349
18000,3000,0.024,60,0.34333
18000,3000,0.028,60,0.34067
18000,3000,0.032,60,0.34167
18000,3000,0.036,60,0.34133
18000,3000,0.04,60,0.34167
18000,3000,0.044,60,0.343
18000,3000,0.048,60,0.34433
18000,3000,0.052,60,0.346
18000,3000,0.056,60,0.34733
18000,3000,0.06,60,0.34967
18000,3000,0.064,60,0.35067
18000,3000,0.068,60,0.35267
18000,3000,0.072,60,0.35233
18000,3000,0.076,60,0.355
18000,3000,0.08,60,0.35367
18000,3000,0.084,60,0.35667
18000,3000,0.088,60,0.35867
18000,3000,0.092,60,0.361
18000,3000,0.096,60,0.36367
18000,3000,0.1,60,0.36533
18000,3000,0.104,60,0.36833
18000,3000,0.108,60,0.36933
18000,3000,0.112,60,0.37233
18000,3000,0.116,60,0.37433
18000,3000,0.12,60,0.37667
18000,3000,0.124,60,0.37767
18000,3000,0.128,60,0.37967
18000,3000,0.132,60,0.38133
18000,3000,0.136,60,0.384
18000,3000,0.14,60,0.38433
18000,3000,0.144,60,0.387
18000,3000,0.148,60,0.38867
18000,3000,0.152,60,0.39233
18000,3000,0.156,60,0.39667
18000,3000,0.16,60,0.39933
18000,3000,0.164,60,0.40067
18000,3000,0.168,60,0.40433
18000,3000,0.172,60,0.40733
18000,3000,0.176,60,0.40933
18000,3000,0.18,60,0.41067
18000,3000,0.184,60,0.414
18000,3000,0.188,60,0.41667
18000,3000,0.192,60,0.41933
18000,3000,0.196,60,0.41967
18000,3000,0.2,60,0.423
